,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,movavg14day,stddiv14day,uppbound,lowbound,Call
468,IDFC,EQ,01-Apr-2019,46.55,47.4,47.4,46.35,46.7,46.6,46.93,2902830,136233622.55,6637,605815,20.87,44.34499999999996,1.8415827223012389,48.02816544460244,40.66183455539748,Hold Short/ Liquidate Buy
469,IDFC,EQ,02-Apr-2019,46.6,47.0,47.35,45.55,46.15,46.15,46.41,3229923,149901066.95,7123,623312,19.3,44.66857142857139,1.7718041962619906,48.21217982109537,41.12496303604741,Hold Buy/ Liquidate Short
470,IDFC,EQ,03-Apr-2019,46.15,46.25,46.65,45.25,45.25,45.5,46.01,3648491,167881858.6,7209,725371,19.88,44.97928571428567,1.5739976751317462,48.127281064549166,41.83129036402218,Hold Buy/ Liquidate Short
471,IDFC,EQ,04-Apr-2019,45.5,45.5,47.4,45.1,46.15,46.3,46.46,5764009,267777175.45,9274,965444,16.75,45.31714285714282,1.308072149101179,47.93328715534518,42.70099855894046,Hold Buy/ Liquidate Short
472,IDFC,EQ,05-Apr-2019,46.3,46.55,46.85,45.85,46.75,46.55,46.4,3806248,176609605.55,6874,1013512,26.63,45.46999999999996,1.3000473364168297,48.07009467283362,42.86990532716631,Hold Buy/ Liquidate Short
473,IDFC,EQ,08-Apr-2019,46.55,46.45,47.25,46.0,46.35,46.3,46.69,5116304,238857605.3,10084,2125840,41.55,45.67357142857139,1.2472406907492801,48.16805281006995,43.17909004707283,Hold Buy/ Liquidate Short
474,IDFC,EQ,09-Apr-2019,46.3,46.5,47.0,45.4,46.95,46.85,46.14,3347032,154445408.5,6586,807944,24.14,45.779999999999966,1.2163691241375858,48.21273824827514,43.347261751724794,Hold Buy/ Liquidate Short
475,IDFC,EQ,10-Apr-2019,46.85,46.55,47.7,46.5,46.65,46.7,47.04,3400749,159967527.8,8821,728091,21.41,45.97357142857139,1.1830443592889175,48.339660147149225,43.607482709993555,Hold Buy/ Liquidate Short
476,IDFC,EQ,11-Apr-2019,46.7,46.6,47.1,45.5,45.95,45.95,46.24,3550221,164152434.3,9187,605474,17.05,46.12357142857139,1.0593438255168595,48.242259079605105,44.00488377753767,Hold Buy/ Liquidate Short
477,IDFC,EQ,12-Apr-2019,45.95,45.95,47.15,45.95,46.9,46.85,46.49,2794471,129913759.6,5271,561295,20.09,46.35214285714282,0.6772362225252236,47.70661530219327,44.997670412092376,Hold Buy/ Liquidate Short
478,IDFC,EQ,15-Apr-2019,46.85,47.0,47.35,46.5,46.65,46.7,46.91,1562878,73313532.7,4670,363351,23.25,46.53214285714282,0.38928294182062817,47.31070874078408,45.753576973501566,Hold Buy/ Liquidate Short
