Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Sep 25, 2018",95.1,95.99,96.52,94.99,6.19M
"Sep 24, 2018",94.92,95.44,96.0,94.86,5.34M
"Sep 21, 2018",95.9,95.92,96.29,95.63,9.53M
"Sep 20, 2018",95.75,95.35,95.79,94.95,5.55M
"Sep 19, 2018",95.24,95.57,95.89,94.88,5.68M
"Sep 18, 2018",95.43,94.46,95.59,94.15,6.76M
"Sep 17, 2018",94.82,94.75,95.48,94.37,5.33M
"Sep 14, 2018",94.59,94.53,94.84,94.35,6.32M
"Sep 13, 2018",95.12,95.32,95.62,94.91,7.65M
"Sep 12, 2018",95.97,96.26,96.74,95.93,5.90M
"Sep 11, 2018",96.64,97.27,97.66,96.49,6.46M
"Sep 10, 2018",96.9,96.11,97.19,96.09,8.33M
"Sep 07, 2018",95.83,95.8,96.48,95.64,6.67M
"Sep 06, 2018",96.45,96.53,96.72,96.01,6.15M
"Sep 05, 2018",96.62,95.67,96.83,95.36,9.47M
"Sep 04, 2018",95.36,95.8,96.27,95.24,8.28M
"Aug 31, 2018",95.86,96.19,96.44,95.11,6.32M
"Aug 30, 2018",96.1,95.5,96.5,95.45,7.06M
"Aug 29, 2018",95.64,96.28,96.83,95.53,7.86M
"Aug 28, 2018",96.07,94.77,96.35,94.53,9.98M
"Aug 27, 2018",94.54,95.26,95.61,94.28,7.04M
"Aug 24, 2018",94.95,95.09,95.66,94.35,8.59M
"Aug 23, 2018",95.18,95.5,95.86,95.06,6.10M
"Aug 22, 2018",95.67,96.2,96.85,95.23,7.77M
"Aug 21, 2018",96.08,95.96,96.36,95.36,10.53M
"Aug 20, 2018",96.0,97.67,98.29,95.95,12.68M
"Aug 17, 2018",97.85,97.77,99.67,97.61,16.46M
"Aug 16, 2018",98.64,100.11,100.21,97.91,42.63M
"Aug 15, 2018",90.22,90.25,90.41,89.67,8.62M
"Aug 14, 2018",90.85,89.64,91.12,89.63,5.84M
"Aug 13, 2018",89.64,90.2,90.54,89.37,5.88M
"Aug 10, 2018",90.18,88.7,90.37,88.65,8.24M
"Aug 09, 2018",89.01,89.46,89.63,88.76,4.73M
"Aug 08, 2018",90.05,89.97,90.23,89.37,5.04M
"Aug 07, 2018",89.77,89.83,90.36,89.65,4.53M
"Aug 06, 2018",89.67,89.31,89.98,89.12,4.65M
"Aug 03, 2018",89.6,89.19,90.28,89.0,5.75M
"Aug 02, 2018",88.76,87.94,88.84,87.62,4.31M
"Aug 01, 2018",88.24,88.86,89.13,87.88,5.05M
"Jul 31, 2018",89.23,89.0,89.66,88.8,6.71M
"Jul 30, 2018",88.88,88.0,88.94,87.89,6.01M
"Jul 27, 2018",88.13,88.64,88.88,88.03,4.68M
"Jul 26, 2018",88.23,88.5,89.43,88.18,6.55M
"Jul 25, 2018",87.9,87.27,88.02,87.11,5.80M
"Jul 24, 2018",87.96,88.12,88.5,87.61,5.59M
"Jul 23, 2018",87.63,87.65,88.15,87.38,4.15M
"Jul 20, 2018",88.06,87.4,88.17,87.2,4.82M
"Jul 19, 2018",87.72,87.86,88.48,87.41,4.88M
"Jul 18, 2018",88.07,88.33,89.19,87.94,5.05M
"Jul 17, 2018",88.19,87.4,88.7,87.4,5.91M
"Jul 16, 2018",87.64,87.62,87.72,86.83,4.45M
"Jul 13, 2018",87.7,86.52,87.99,86.5,6.39M
"Jul 12, 2018",86.52,86.94,87.41,86.22,4.89M
"Jul 11, 2018",86.53,87.06,87.15,86.39,5.60M
"Jul 10, 2018",87.21,85.93,87.33,85.88,6.05M
"Jul 09, 2018",85.93,85.0,86.47,84.77,6.58M
"Jul 06, 2018",84.51,84.2,84.86,83.82,5.62M
"Jul 05, 2018",84.57,84.94,85.58,84.27,5.37M
"Jul 03, 2018",84.44,84.09,85.05,84.09,4.40M
"Jul 02, 2018",84.0,85.65,85.94,83.4,8.13M
"Jun 29, 2018",85.65,85.9,86.2,85.52,8.26M
"Jun 28, 2018",85.86,86.85,87.29,85.69,8.47M
"Jun 27, 2018",86.89,85.9,87.49,85.55,10.30M
"Jun 26, 2018",85.98,86.53,87.05,85.76,10.13M
"Jun 25, 2018",86.47,84.59,86.6,84.48,15.94M
"Jun 22, 2018",84.82,84.46,84.85,84.1,11.01M
"Jun 21, 2018",84.21,83.4,84.55,82.89,8.09M
"Jun 20, 2018",83.61,83.71,83.82,83.16,7.97M
"Jun 19, 2018",83.61,82.6,83.62,82.37,9.35M
"Jun 18, 2018",83.0,83.05,83.57,82.82,8.50M
"Jun 15, 2018",83.7,83.5,83.99,83.06,12.50M
"Jun 14, 2018",83.79,84.22,84.81,83.67,7.52M
"Jun 13, 2018",84.09,83.89,84.37,83.85,6.36M
"Jun 12, 2018",84.1,84.32,84.59,83.47,8.06M
"Jun 11, 2018",84.3,84.41,84.54,83.79,6.25M
"Jun 08, 2018",84.36,84.78,85.19,84.14,7.60M
"Jun 07, 2018",84.95,84.78,85.76,84.69,7.71M
"Jun 06, 2018",84.56,84.95,85.15,84.35,7.36M
"Jun 05, 2018",84.62,85.45,85.47,84.25,8.28M
"Jun 04, 2018",85.42,83.5,85.52,83.3,10.92M
"Jun 01, 2018",82.99,83.04,83.42,82.85,5.24M
"May 31, 2018",82.54,83.94,84.31,82.51,11.47M
"May 30, 2018",84.12,82.45,84.23,82.26,9.31M
"May 29, 2018",82.4,81.96,82.52,81.81,8.43M
"May 25, 2018",82.46,82.85,83.34,82.32,5.91M
"May 24, 2018",82.85,83.0,83.0,81.78,8.58M
"May 23, 2018",83.01,82.95,83.02,82.17,9.40M
"May 22, 2018",83.37,84.5,84.81,83.29,8.07M
"May 21, 2018",84.51,84.14,84.54,83.82,10.72M
"May 18, 2018",83.64,84.24,84.44,83.49,12.04M
"May 17, 2018",84.49,87.04,87.59,83.85,29.72M
"May 16, 2018",86.13,84.87,86.62,84.74,13.73M
"May 15, 2018",84.52,84.06,84.88,83.8,9.32M
"May 14, 2018",84.39,83.89,84.79,83.65,9.50M
"May 11, 2018",83.38,82.69,83.52,81.95,9.93M
"May 10, 2018",82.69,82.64,83.77,82.01,15.86M
"May 09, 2018",83.06,82.56,83.68,82.0,32.27M
"May 08, 2018",85.74,85.52,85.85,84.92,6.55M
"May 07, 2018",85.47,87.49,87.5,85.27,10.78M
"May 04, 2018",87.53,86.0,88.1,85.36,6.97M
"May 03, 2018",86.23,86.19,86.29,85.12,6.88M
"May 02, 2018",86.34,87.13,87.25,86.16,6.08M
"May 01, 2018",87.41,87.67,88.01,86.35,6.96M
"Apr 30, 2018",88.46,87.94,89.66,87.92,8.69M
"Apr 27, 2018",87.29,87.87,87.9,87.08,5.65M
"Apr 26, 2018",87.94,87.17,88.32,86.9,5.78M
"Apr 25, 2018",87.17,86.32,87.7,85.89,6.76M
"Apr 24, 2018",86.53,86.77,86.91,85.57,8.47M
"Apr 23, 2018",86.1,86.89,87.08,86.02,7.36M
"Apr 20, 2018",86.98,87.87,88.38,86.67,8.32M
"Apr 19, 2018",87.89,87.41,88.04,86.58,6.59M
"Apr 18, 2018",87.57,88.2,88.56,87.51,5.85M
"Apr 17, 2018",87.9,87.48,88.17,87.41,6.80M
