,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,year,month,price*volume,Day_Perc_Change,Trend
121,2019-05-03,102.08,102.32,102.75,101.8,5320000.0,2019,5,543065600.0,-0.37087643958617633,Slight or No Change
122,2019-05-02,101.15,101.43,102.06,100.24,5010000.0,2019,5,506761500.0,-0.911050156739801,Slight negative
123,2019-05-01,101.36,102.77,102.81,101.28,5340000.0,2019,5,541262400.0,0.20761245674740803,Slight or No Change
124,2019-04-30,102.84,101.77,102.92,101.45,6130000.0,2019,4,630409200.0,1.4601420678768795,Positive
125,2019-04-29,101.56,101.88,102.0,100.78,6380000.0,2019,4,647952800.0,-1.2446518864255185,Negative
126,2019-04-26,101.53,100.45,102.34,99.66,8109999.999999999,2019,4,823408299.9999999,-0.02953918865695737,Slight or No Change
127,2019-04-25,103.52,103.24,104.14,102.83,3960000.0,2019,4,409939200.0,1.9600118191667404,Positive
128,2019-04-24,103.53,103.14,103.85,103.09,4700000.0,2019,4,486591000.0,0.009659969088104958,Slight or No Change
129,2019-04-23,103.07,102.53,103.29,101.94,5050000.0,2019,4,520503499.99999994,-0.4443156572974116,Slight or No Change
130,2019-04-22,102.37,102.78,103.54,102.17,5080000.0,2019,4,520039600.0,-0.6791500921703553,Slight negative
131,2019-04-18,103.18,103.11,103.8,102.89,3730000.0,2019,4,384861400.0,0.791247435772191,Slight positive
132,2019-04-17,103.16,103.0,103.4,102.41,3730000.0,2019,4,384786800.0,-0.019383601473166312,Slight or No Change
133,2019-04-16,102.93,102.89,103.39,102.54,4830000.0,2019,4,497151900.00000006,-0.2229546335788979,Slight or No Change
134,2019-04-15,102.43,101.3,102.91,101.26,5110000.0,2019,4,523417300.00000006,-0.48576702613426503,Slight or No Change
135,2019-04-12,101.56,101.0,102.02,101.0,5160000.0,2019,4,524049600.0,-0.8493605389046199,Slight negative
136,2019-04-11,100.8,99.7,100.83,99.47,5610000.0,2019,4,565488000.0,-0.7483261126427831,Slight negative
137,2019-04-10,99.6,98.51,99.72,98.5,4090000.0,2019,4,407364000.0,-1.1904761904761973,Negative
138,2019-04-09,98.69,98.8,99.23,98.15,4370000.0,2019,4,431275300.0,-0.9136546184738914,Slight negative
139,2019-04-08,99.23,98.45,99.25,98.26,5420000.0,2019,4,537826600.0,0.5471678994832363,Slight positive
140,2019-04-05,98.83,98.25,99.2,98.16,4660000.0,2019,4,460547800.0,-0.4031039000302439,Slight or No Change
141,2019-04-04,98.11,97.25,98.28,97.24,4030000.0000000005,2019,4,395383300.00000006,-0.7285237276130729,Slight negative
142,2019-04-03,97.19,97.12,97.4,96.79,5690000.0,2019,4,553011100.0,-0.9377229640199825,Slight negative
143,2019-04-02,96.94,97.76,98.31,96.9,6270000.0,2019,4,607813800.0,-0.2572281098878526,Slight or No Change
144,2019-04-01,97.82,97.97,98.36,97.56,8510000.0,2019,4,832448200.0,0.907778007014648,Slight positive
145,2019-03-29,97.53,97.59,97.67,97.04,7440000.0,2019,3,725623200.0,-0.29646289102431833,Slight or No Change
